	Warning:  warning, (EE) error, (NI) not implemented, (??) unknown.
[   125.926] Information:  Sleep Button: Configuring as keyboard
[   125.926] Information:  XINPUT: Adding extended input device "Sleep Button" (type: KEYBOARD)
[   125.929] Information:  config/hal: Adding input device Power Button
[   125.929] Information:  Using input driver 'evdev' for 'Power Button'
[   125.929] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   125.929] Information:  Power Button: Configuring as keyboard
[   125.929] Information:  XINPUT: Adding extended input device "Power Button" (type: KEYBOARD)
[   125.932] Information:  config/hal: Adding input device Macintosh mouse button emulation
[   125.932] Information:  Using input driver 'evdev' for 'Macintosh mouse button emulation'
[   125.932] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   125.932] Information:  Macintosh mouse button emulation: Configuring as mouse
[   125.932] Information:  XINPUT: Adding extended input device "Macintosh mouse button emulation" (type: MOUSE)
[   125.932] Information:  Macintosh mouse button emulation: initialized for relative axes.
